target,source
The Errand Boy,Family
The Family Jewels,Comedy
The Ladies Man,Comedy
The Patsy,Comedy
Stateside,Romance
The Stooge,Comedy
That's Entertainment!,Music
"That's Entertainment, Part II",Music
That's Entertainment! III,Family
The Wackiest Ship in the Army,War
Alexander the Great,War
Conquest of Space,Fiction
D.A.R.Y.L.,Fiction
Fire in the Sky,Mystery
The Garden of Allah,Romance
I'll Be Seeing You,Family
The Invisible Man Returns,Thriller
The Last Minute,Mystery
Love Me If You Dare,Romance
Portrait of Jennie,Romance
Ruby Gentry,Romance
Secret Honor,Drama
Since You Went Away,War
A Slipping Down Life,Romance
Splatter University,Mystery
Twist,Drama
Control Room,Documentary
Celsius 41.11: The Temperature at Which the Brain... Begins to Die,Documentary
The Cheat,Drama
Dr. Jekyll and Mr. Hyde,Fiction
The Golem: How He Came Into the World,Thriller
The Last of the Mohicans,History
The Idle Class,Comedy
The Phantom Carriage,Horror
Destiny,Fantasy
The Sheik,Romance
Häxan,Horror
The Man from Beyond,Unknown
The Hunchback of Notre Dame,Horror
Why Worry?,Adventure
He Who Gets Slapped,Thriller
The Marriage Circle,Comedy
"Sherlock, Jr.",Mystery
The Big Parade,War
The Freshman,Comedy
Greed,History
The Phantom of the Opera,Horror
The Jazz Singer,Music
October (Ten Days that Shook the World),Drama
Old San Francisco,Romance
The Unknown,Romance
Pandora's Box,Romance
The Cameraman,Comedy
The Fall of the House of Usher,Horror
The Crowd,Drama
The Man Who Laughs,Horror
Sadie Thompson,Romance
"Steamboat Bill, Jr.",Comedy
Applause,Music
Un chien andalou,Fantasy
Little Caesar,Crime
L'Âge d'Or,Drama
The Champ,Drama
Monkey Business,Comedy
Night Nurse,Mystery
Boudu Saved from Drowning,Comedy
Doctor X,Horror
Land Without Bread,Documentary
The Old Dark House,Horror
Rasputin and the Empress,History
Scarface,Thriller
Shanghai Express,Drama
"I Was Born, But...",Drama
Vampyr,Horror
What Price Hollywood?,Drama
Dinner at Eight,Drama
The Ghoul,Mystery
Gold Diggers of 1933,Music
Island of Lost Souls,Fiction
Lady for a Day,Comedy
She Done Him Wrong,Comedy
The Son of Kong,Fiction
The Vampire Bat,Thriller
Wild Boys of the Road,Drama
L'Atalante,Drama
The Barretts of Wimpole Street,Romance
The Black Cat,Horror
Imitation of Life,Romance
The Lawless Frontier,Western
The Lost Patrol,War
The Merry Widow,Romance
The Scarlet Pimpernel,Drama
Toni,Drama
Bonnie Scotland,Comedy
The Informer,Drama
Mark of the Vampire,Mystery
The Raven,Crime
Werewolf of London,Drama
The Crime of Monsieur Lange,Crime
Fury,Thriller
Libeled Lady,Romance
Mr. Deeds Goes to Town,Romance
The Petrified Forest,Drama
Revolt of the Zombies,Horror
Show Boat,Drama
These Three,Drama
Wife vs. Secretary,Romance
Camille,Romance
Captains Courageous,Family
Dead End,Drama
Double Wedding,Romance
Nothing Sacred,Romance
The Prisoner of Zenda,Romance
Stage Door,Drama
Topper,Romance
The Big Broadcast of 1938,Unknown
The Dawn Patrol,War
Holiday,Comedy
The Shopworn Angel,War
Gaslight,Mystery
Intermezzo: A Love Story,Romance
The Roaring Twenties,Thriller
Wuthering Heights,Romance
The Story of the Last Chrysanthemum,Drama
Abe Lincoln in Illinois,History
Boom Town,Romance
Brother Orchid,Crime
"Edison, the Man",Drama
The Letter,Romance
The Sea Hawk,Action
Ball of Fire,Romance
The 47 Ronin,History
Here Comes Mr. Jordan,Romance
In the Navy,Romance
It Started with Eve,Romance
Never Give a Sucker an Even Break,Comedy
That Uncertain Feeling,Romance
Across the Pacific,War
All Through the Night,War
Gentleman Jim,Drama
The Hard Way,Drama
My Favorite Blonde,Comedy
Why We Fight: Prelude to War,War
Random Harvest,Romance
Tales of Manhattan,Romance
Action in the North Atlantic,War
A Guy Named Joe,War
Heaven Can Wait,Romance
The Heavenly Body,Romance
The Memphis Belle: A Story of a Flying Fortress,Documentary
Mr. Lucky,Romance
Thousands Cheer,Romance
Day of Wrath,Romance
Cover Girl,Romance
The Curse of the Cat People,Fantasy
Henry V,History
Torment,Drama
The Mask of Dimitrios,Thriller
Ministry of Fear,Drama
The Miracle of Morgan’s Creek,War
Mr. Skeffington,Romance
Mrs. Parkington,Romance
Passage to Marseille,History
The White Cliffs of Dover,War
The Woman in the Window,Thriller
The Enchanted Cottage,Romance
Isle of the Dead,Thriller
"Ivan the Terrible, Part I",History
The Southerner,Drama
They Were Expendable,War
A Tree Grows in Brooklyn,Drama
The Beast with Five Fingers,Horror
The Blue Dahlia,Drama
The Dark Mirror,Thriller
Deception,Romance
Great Expectations,Romance
Humoresque,Music
Shoeshine,Drama
The Stranger,Thriller
Mourning Becomes Electra,Drama
Nightmare Alley,Drama
Odd Man Out,Crime
Road to Rio,Comedy
The Two Mrs. Carrolls,Thriller
3 Godfathers,Western
B.F.'s Daughter,Drama
The Babe Ruth Story,Drama
Easter Parade,Romance
Fort Apache,Western
The Lady from Shanghai,Mystery
Letter from an Unknown Woman,Drama
Louisiana Story,Drama
The Naked City,Thriller
The Pirate,Romance
They Live by Night,Crime
The Three Musketeers,Drama
Unfaithfully Yours,Romance
Yellow Sky,Western
The Barkleys of Broadway,Romance
In the Good Old Summertime,Romance
A Letter to Three Wives,Romance
Orpheus,Romance
The Secret Garden,Family
The Story of Seabiscuit,Romance
Annie Get Your Gun,Western
Les Enfants Terribles,Drama
The Gunfighter,Western
King Solomon's Mines,Romance
Los Olvidados,Drama
Scandal,Drama
Summer Stock,Romance
Europe '51,Drama
Carbine Williams,Drama
Carrie,Romance
Clash by Night,Drama
The Prisoner of Zenda,Adventure
The Life of Oharu,Drama
Son of Paleface,Western
Abbott and Costello Meet Dr. Jekyll and Mr. Hyde,Fiction
Gun Fury,Western
Gate of Hell,Romance
Man on a Tightrope,Drama
The Titfield Thunderbolt,Comedy
The Belles of St. Trinian's,Comedy
The Crucified Lovers,Romance
French Cancan,Drama
It Should Happen to You,Romance
"The Long, Long Trailer",Romance
Magnificent Obsession,Romance
Salt of the Earth,Drama
Samurai I: Musashi Miyamoto,Adventure
A Star Is Born,Romance
Three Coins in the Fountain,Drama
The Wild One,Drama
The Cobweb,Drama
It's Always Fair Weather,Romance
Mr. Arkadin,Thriller
Night and Fog,War
Samurai II: Duel at Ichijoji Temple,Adventure
The Seven Little Foys,Family
The Unknown Soldier,War
Anything Goes,Music
The Burmese Harp,War
Carousel,Music
Samurai III: Duel at Ganryu Island,History
Rodan,Fiction
Barnacle Bill,Comedy
Chase a Crooked Shadow,Drama
Fiend Without a Face,Fiction
Jailhouse Rock,Music
Man of a Thousand Faces,Drama
The Spirit of St. Louis,History
The Undead,Horror
Zero Hour!,Thriller
Carve Her Name with Pride,War
Corridors of Blood,Crime
Giants and Toys,Comedy
The Last Hurrah,Drama
Machine-Gun Kelly,History
Teacher's Pet,Romance
Torpedo Run,Drama
The Vikings,Romance
Al Capone,Drama
Picnic on the Grass,Comedy
Invisible Invaders,Fiction
The Human Condition II: Road to Eternity,History
Fires on the Plain,War
North West Frontier,Adventure
The Nun's Story,Drama
Pickpocket,Drama
Floating Weeds,Drama
The Young Philadelphians,Romance
The Leech Woman,Fiction
When a Woman Ascends the Stairs,Drama
The Sundowners,Adventure
Sunrise at Campobello,History
The Bad Sleep Well,Thriller
Bachelor in Paradise,Romance
The Deadly Companions,Western
The Four Horsemen of the Apocalypse,Drama
The Intruder,Drama
Murder She Said,Comedy
The Human Condition III: A Soldier's Prayer,History
Paris Blues,Music
Taste of Fear,Mystery
Advise & Consent,Drama
David and Lisa,Drama
Eegah,Horror
Harakiri,History
The Loneliness of the Long Distance Runner,Drama
The Music Man,Family
Mutiny on the Bounty,History
An Occurrence at Owl Creek Bridge,Drama
The Four Days of Naples,Unknown
Il Sorpasso,Comedy
The Wonderful World of the Brothers Grimm,Family
L'eclisse,Drama
Les Carabiniers,War
The Cardinal,War
The Incredibly Strange Creatures Who Stopped Living and Became Mixed-Up Zombies!!?,Horror
The Kiss of the Vampire,Horror
Love with the Proper Stranger,Romance
McLintock!,Western
Murder at the Gallop,Comedy
A New Kind of Love,Romance
The Prize,Crime
Sunday in New York,Comedy
Crooks in Clover,Crime
36 Hours,Thriller
Becket,History
Behold a Pale Horse,War
The Best Man,Drama
"Hush... Hush, Sweet Charlotte",Thriller
The Killers,Mystery
The Naked Kiss,Drama
Onibaba,Horror
Robin and the 7 Hoods,Crime
Robinson Crusoe on Mars,Fiction
Spider Baby,Horror
The Visit,Romance
What a Way to Go!,Romance
Docking the Boat,Comedy
The Battle of Algiers,History
A Charlie Brown Christmas,Movie
Dracula: Prince of Darkness,Horror
The Hallelujah Trail,Western
The Heroes of Telemark,History
The Hill,War
In Harm's Way,Drama
Incubus,Horror
The Loved One,Comedy
Major Dundee,Western
Operation Crossbow,War
Ride in the Whirlwind,Western
A Thousand Clowns,Romance
The Train,War
Andrei Rublev,History
Au Hasard Balthazar,Drama
Batman,Crime
Grand Prix,Drama
Khartoum,War
Dragon Inn,Adventure
Manos: The Hands of Fate,Horror
Closely Watched Trains,War
Tokyo Drifter,Crime
Asterix the Gaul,Comedy
"Gappa, the Triphibian Monster",Fiction
Dont Look Back,Music
Fando and Lis,Fantasy
The Incident,Drama
Branded to Kill,Drama
The Bride Wore Black,Crime
PlayTime,Comedy
Point Blank,Thriller
The Shooting,Western
The St. Valentine's Day Massacre,Crime
Titicut Follies,Documentary
Tony Rome,Thriller
Two for the Road,Romance
Up the Down Staircase,Drama
The War Wagon,Western
Asterix and Cleopatra,Comedy
The Diamond Arm,Crime
Dracula Has Risen from the Grave,Horror
Head,Fantasy
The Heart Is a Lonely Hunter,Drama
"I Love You, Alice B. Toklas!",Romance
Petulia,Drama
The Subject Was Roses,Drama
Sympathy for the Devil,Music
War and Peace,Romance
"Yours, Mine and Ours",Family
Alice's Restaurant,Music
Camille 2000,Romance
Colossus: The Forbin Project,Thriller
Death Rides a Horse,Western
"Goodbye, Mr. Chips",Romance
Journey to the Far Side of the Sun,Fiction
Last Summer,Drama
My Night at Maud's,Drama
The Magic Christian,Comedy
Marlowe,Drama
More,Crime
The Reivers,Drama
Taste the Blood of Dracula,Horror
The Joke,Drama
...tick... tick... tick...,Action
Brewster McCloud,Comedy
Violent City,Thriller
Dirty Dingus Magee,Western
Dodes'ka-den,Drama
Gamera vs. Jiger,Fiction
Claire's Knee,Romance
"Hi, Mom!",Drama
House of Dark Shadows,Romance
A Swedish Love Story,Romance
The Landlord,Comedy
On a Clear Day You Can See Forever,Romance
Performance,Music
A Trip Down the River,Comedy
Long Live Death,Drama
The White Sun of the Desert,Adventure
Zabriskie Point,Romance
The Beguiled,Western
The Devils,History
Duel,Thriller
Evil Roy Slade,Comedy
The Go-Between,Romance
Johnny Got His Gun,Drama
Lawman,Western
Let's Scare Jessica to Death,Thriller
They Call Me Trinity,Western
Mon oncle Antoine,Drama
A New Leaf,Romance
Nicholas and Alexandra,War
Von Richthofen and Brown,Foreign
Scars of Dracula,Horror
Support Your Local Gunfighter,Western
Sweet Sweetback's Baadasssss Song,Romance
El Topo,Western
The Emigrants,Drama
Blood of Ghastly Horror,Fiction
Brother John,Fiction
Dr. Phibes Rises Again,Horror
Dracula A.D. 1972,Horror
Get to Know Your Rabbit,Comedy
The Tall Blond Man with One Black Shoe,Mystery
Lone Wolf and Cub: Sword of Vengeance,Action
Lone Wolf and Cub: Baby Cart at the River Styx,Drama
Lady Sings the Blues,Music
Payday,Music
Slither,Comedy
Trafic,Comedy
The Mad Adventures of Rabbi Jacob,Comedy
Charley Varrick,Thriller
Dark Star,Fiction
A Delicate Balance,Foreign
Bram Stoker's Dracula,Movie
Emperor of the North,Thriller
Executive Action,Thriller
The Glass Menagerie,Drama
My Name Is Nobody,Western
Invasion of the Bee Girls,Thriller
Lemora: A Child's Tale of the Supernatural,Horror
Phase IV,Fiction
Save the Tiger,Drama
Scarecrow,Thriller
Sisters,Thriller
The Spook Who Sat by the Door,Crime
Theatre of Blood,Horror
Five Fingers of Death,Action
Turkish Delight,Romance
Walking Tall,Drama
Butley,Drama
California Split,Drama
The Cars That Ate Paris,Horror
Conrack,Drama
The Living Dead at Manchester Morgue,Fiction
Emmanuelle,Romance
The Phantom of Liberty,Comedy
Flesh for Frankenstein,Horror
General Idi Amin Dada,War
Gone in 60 Seconds,Thriller
The Groove Tube,Comedy
Harry and Tonto,Comedy
Hearts and Minds,War
The Holy Mountain,Drama
The Little Prince,Music
The Terminal Man,Thriller
Thieves Like Us,Crime
The Adventure of Sherlock Holmes' Smarter Brother,Mystery
The Adventures of the Wilderness Family,Family
"Cousin, Cousine",Comedy
Dolemite,Crime
The Twelve Tasks of Asterix,Adventure
Emmanuelle II,Romance
"Farewell, My Lovely",Thriller
The Fortune,Romance
French Connection II,Thriller
The Great Waldo Pepper,Drama
The Story of Adele H,Romance
"The Irony of Fate, or Enjoy Your Bath!",Romance
Night Moves,Thriller
The Passenger,Drama
Hand of Death,Action
Sister Street Fighter,Drama
Supervixens,Comedy
Trilogy of Terror,Thriller
1900,Romance
Small Change,Comedy
Twenty Days Without War,Drama
From Noon Till Three,Western
Futureworld,Thriller
Harlan County U.S.A.,Documentary
Hollywood Boulevard,Comedy
The Marquise of O,Drama
Mistress,Romance
The Message,History
The Missouri Breaks,Western
A Slave of Love,Romance
Silver Streak,Thriller
Up!,Comedy
Who Can Kill a Child?,Thriller
ABBA - The Movie,Music
Demon Seed,Fiction
High Anxiety,Music
The Man Who Loved Women,Romance
The Hound of the Baskervilles,Mystery
Place without Limits,Drama
"New York, New York",Romance
Providence,Drama
Sorcerer,Adventure
The Turning Point,Romance
The Rutles: All You Need Is Cash,Comedy
Brass Target,Drama
Capricorn One,Fiction
The Five Venoms,Action
Gates of Heaven,Documentary
Last Hurrah for Chivalry,Drama
Harper Valley P.T.A.,Comedy
The Hobbit,Family
In Praise Of Older Women,Romance
Parts: The Clonus Horror,Fiction
The Grapes of Death,Horror
The Adventures of Picasso,Comedy
Snake in the Eagle's Shadow,Comedy
A Wedding,Drama
Best Boy,Documentary
French Fried Vacation 2,Comedy
Buffet Froid,Crime
Hair,Music
I as in Icarus,Mystery
The In-Laws,Comedy
Love at First Bite,Horror
La Luna,Drama
Opening Night,Drama
Quintet,Fiction
Rockers,Foreign
Starting Over,Romance
Children's Island,Family
Defiance,Crime
The Hitch Hikers Guide to the Galaxy,Fiction
Genocide,Documentary
Peter-No-Tail,Drama
Treasure of the Yankee Zephyr,Drama
Smiley's People,Unknown
The Scarlet Pimpernel,Movie
Bad Boys,Thriller
Barefoot Gen,War
Blue Thunder,Drama
D.C. Cab,Crime
The Day After,Drama
Deal of the Century,Comedy
Doctor Detroit,Comedy
Eddie Murphy: Delirious,Comedy
El Norte,Drama
Lianna,Romance
"Merry Christmas, Mr. Lawrence",History
The Pirates of Penzance,Romance
The Raiders of Atlantis,Fiction
First Name: Carmen,Romance
Rock & Rule,Fiction
Sugar Cane Alley,Foreign
Rumble Fish,Romance
The Makioka Sisters,Romance
Star 80,Drama
The Star Chamber,Thriller
Strange Invaders,Fiction
Stroker Ace,Comedy
To Be or Not to Be,Comedy
Twilight Zone: The Movie,Thriller
The Fourth Man,Horror
Suburbia,Music
Yellowbeard,Adventure
One Deadly Summer,Drama
Another Country,Romance
Boy Meets Girl,Romance
Choose Me,Romance
A Christmas Carol,Movie
Cloak & Dagger,Family
Comfort and Joy,Comedy
Dangerous Moves,Thriller
Electric Dreams,Drama
The Ewok Adventure,Movie
The Hit,Crime
The Ice Pirates,Comedy
Irreconcilable Differences,Romance
The Last Polka,Unknown
Next of Kin,Comedy
Full Moon in Paris,Romance
Racing with the Moon,Romance
"Silent Night, Deadly Night",Horror
The Times of Harvey Milk,Documentary
Drunken Tai Chi,Comedy
What Have I Done to Deserve This?,Comedy
Anne of Green Gables,Family
Asterix vs. Caesar,Adventure
Barbarian Queen,Fiction
Beer,Comedy
Bliss,Romance
Creator,Fiction
Death of a Salesman,Drama
Demons,Horror
Ewoks: The Battle for Endor,Adventure
Heaven Help Us,Romance
Mr. Vampire,Horror
Police Story,Thriller
Mishima: A Life in Four Chapters,Drama
9 Deaths of the Ninja,Comedy
Peter-No-Tail in Americat,Family
The Quiet Earth,Thriller
Spies Like Us,Adventure
The Stuff,Fiction
Target,Action
The Unknown Soldier,War
Vision Quest,Romance
White Nights,Thriller
’Round Midnight,Drama
Asterix in Britain,Comedy
The Best of Times,Comedy
Club Paradise,Romance
Dead End Drive-In,Thriller
Flodder,Comedy
Ginger and Fred,Drama
Nobody's Fool,Romance
The Sacrifice,Drama
The Park is Mine,Drama
Sherman's March,Documentary
Solarbabies,Fiction
A Better Tomorrow,Drama
Dragons Forever,Romance
G.I. Joe: The Movie,Family
Hell Comes to Frogtown,Fiction
Where Is My Friend's House?,Drama
Leif,Comedy
Law of Desire,Romance
Malone,Thriller
Pathfinder,Adventure
Prince of Darkness,Horror
A Chinese Ghost Story,Action
Street Smart,Drama
Weeds,Drama
The Whales of August,Drama
A Better Tomorrow II,Thriller
Ashik Kerib,Fiction
The Bourne Identity,Thriller
Cannibal Women in the Avocado Jungle of Death,Adventure
Cobra Verde,Drama
Comic Book Confidential,Documentary
Dominick and Eugene,Drama
Jack's Back,Thriller
Killer Klowns from Outer Space,Fiction
Moonwalker,Music
Alice,Horror
Pascali's Island,Drama
Prison,Thriller
Split Decisions,Drama
Tales from the Gimli Hospital,Horror
Landscape in the Mist,Drama
Life Is a Long Quiet River,Comedy
A World Apart,Foreign
Common Threads: Stories from the Quilt,Documentary
Kiki's Delivery Service,Fantasy
Monsieur Hire,Drama
Moon 44,Fiction
Rikyu,Foreign
Speaking Parts,Drama
Prime Suspect,Crime
Boiling Point,Comedy
Almost an Angel,Fiction
Black Rainbow,Horror
Cry-Baby,Music
Bullet in the Head,Drama
Downtown,Thriller
Frankenhooker,Fiction
The Garden,Drama
Ghost Dad,Fantasy
Hard to Kill,Thriller
Havana,Romance
Shipwrecked,Family
I Hired a Contract Killer,Drama
Ju Dou,Romance
The Krays,History
Lionheart,Thriller
Narrow Margin,Mystery
Close-Up,Drama
Nuns on the Run,Comedy
Patlabor: The Movie,Fiction
The Reflecting Skin,Thriller
Riff-Raff,Drama
State of Grace,Crime
Auntie Danielle,Drama
Time to Kill,Drama
"Welcome Home, Roxy Carmichael",Comedy
35 Up,Foreign
Days of Being Wild,Romance
Across the Tracks,Drama
Begotten,Horror
Life on a String,Foreign
Cadence,Drama
Closet Land,Drama
Delusion,Crime
Dollman,Fiction
Dutch,Comedy
Guilty by Suspicion,Thriller
Hearts of Darkness: A Filmmaker's Apocalypse,Documentary
High Strung,Comedy
Homicide,Crime
Johnny Stecchino,Comedy
A Kiss Before Dying,Crime
Riki-Oh: The Story of Ricky,Thriller
Light Sleeper,Crime
The Linguini Incident,Crime
Mannequin Two: On the Move,Romance
Only Yesterday,Romance
Once Around,Romance
Other People's Money,Drama
Out for Justice,Crime
Prospero's Books,Fantasy
Quigley Down Under,Drama
Rubin and Ed,Comedy
Shout,Romance
Stinsen brinner... filmen alltså,Unknown
Stone Cold,Thriller
Strangers in Good Company,Drama
Surviving Desire,Romance
All the Mornings of the World,History
Assassin of the Tsar,Drama
Wild Hearts Can't Be Broken,Family
Prime Suspect 2,Movie
Aileen Wuornos: The Selling of a Serial Killer,Foreign
Barbarian Queen II: The Empress Strikes Back,Fantasy
Captain America,War
City Hunter,Romance
The Oak,Drama
Citizen Cohn,Drama
Crossing The Bridge,Drama
Diggstown,Drama
Innocent Blood,Crime
Johnny Suede,Romance
Porco Rosso,Adventure
The Stolen Children,Drama
LadyBugs,Family
The Mambo Kings,Music
Night and the City,Drama
The Story of Qiu Ju,Drama
Shining Through,Thriller
Sidekicks,Family
Tito and Me,Comedy
A Heart in Winter,Romance
Visions of Light,Documentary
New Dragon Gate Inn,Action
Life and Nothing More...,Drama
House of Angels,Comedy
Return to Lonesome Dove,Western
American Ninja 5,Thriller
The Baby of Mâcon,History
Bad Boy Bubby,Drama
The Bride with White Hair,Fiction
Barbarians at the Gate,Drama
Calendar,Romance
Cyborg 2,Fiction
Deadly Advice,Unknown
The Legend II,Foreign
Fortress,Fiction
The Puppetmaster,War
Josh and S.A.M.,Comedy
Latcho Drom,Documentary
Leningrad Cowboys Meet Moses,Music
Mr. Nanny,Action
The Night We Never Met,Drama
Philadelphia Experiment II,Fiction
The Positively True Adventures of the Alleged Texas Cheerleader Murdering Mom,Drama
The Snapper,Drama
Sonatine,Thriller
Splitting Heirs,Comedy
Tai-Chi Master,Thriller
Three of Hearts,Romance
The Stand,Horror
71 Fragments of a Chronology of Chance,Drama
Naked Killer,Romance
Dark Angel: The Ascent,Romance
Darkman II: The Return of Durant,Thriller
Embrace of the Vampire,Thriller
Felidae,Thriller
Floundering,Romance
Freaked,Comedy
Golden Gate,Drama
Fist of Legend,Action
Paperback Romance,Comedy
Macross Plus: Movie Edition,Fiction
Major League II,Comedy
My Father the Hero,Romance
"Take Care of Your Scarf, Tatiana",Romance
Pumpkinhead II: Blood Wings,Horror
A Pure Formality,Thriller
Staggered,Foreign
The Defender,Thriller
The Langoliers,Thriller
Blood & Donuts,Comedy
Gonin,Thriller
Kivenpyörittäjän kylä,Unknown
Last of the Dogmen,Western
Whisper of the Heart,Family
The Passion of Darkly Noon,Thriller
High Risk,Comedy
Street Fighter II: The Animated Movie,Action
Trinity And Beyond: The Atomic Bomb Movie,Documentary
Tromeo & Juliet,Thriller
Cannibal! The Musical,Horror
A Summer's Tale,Romance
Fetishes,Documentary
The God of Cookery,Comedy
Jack Frost,Comedy
The Hunters,Mystery
Drifting Clouds,Drama
The Late Shift,Drama
"Pretty Village, Pretty Flame",War
My Man,Romance
No Way Back,Thriller
No Way Home,Drama
Pusher,Thriller
Robinson Crusoe,Drama
Freakin' Beautiful World,Drama
Sgt. Kabukiman N.Y.P.D.,Fantasy
Earth,Fiction
Emma,Romance
American Perfekt,Thriller
Bikini Summer III: South Beach Heat,Comedy
The Boxer,Romance
The Brave,Drama
Cremaster 5,Drama
Executive Target,Thriller
Face,Thriller
Snow White: A Tale of Terror,Horror
Gummo,Drama
Hamilton,Thriller
Chicago Cab,Drama
Kiss or Kill,Drama
Destiny,History
Mean Guns,Thriller
Men with Guns,Thriller
Nirvana,Fiction
Dance with the Devil,Thriller
Photographing Fairies,Drama
Postman Blues,Action
Quicksilver Highway,Thriller
The Swindle,Thriller
Safe House,Thriller
"Sick: The Life and Death of Bob Flanagan, Supermasochist",Documentary
The Lion King 2: Simba's Pride,Adventure
Wishful Thinking,Romance
From the Earth to the Moon,Drama
Beowulf,Fantasy
From Dusk Till Dawn 3: The Hangman's Daughter,Thriller
The Interview,Drama
RKO 281,Drama
From Dusk Till Dawn 2: Texas Blood Money,Thriller
"Torrente, the Dumb Arm of the Law",Crime
Koko Flanel,Romance
Bruno,Drama
Dead Man's Curve,Thriller
Fudoh: The New Generation,Foreign
Gia,Romance
Thursday,Thriller
Sophie's World,Family
Wavelength,Documentary
Who Am I?,Thriller
The Kingdom II,Mystery
Merlin,Fantasy
Rogue Trader,Drama
Breast Men,Comedy
A Murder of Crows,Thriller
"Bang, Boom, Bang",Comedy
Batman & Mr. Freeze: SubZero,Crime
The Pentagon Wars,War
A Place Called Chiapas,Documentary
Two Hands,Thriller
Brave New World,Movie
Addams Family Reunion,Movie
Thick as Thieves,Crime
Set Me Free,Romance
Claire Dolan,Drama
Jigoku,Drama
The Smashing Pumpkins: Vieuphoria,Music
The Class Trip,Drama
Flowers of Shanghai,Drama
The Hole,Romance
Of Freaks and Men,Drama
Das merkwürdige Verhalten geschlechtsreifer Großstädter zur Paarungszeit,Comedy
Purgatory,Fiction
Juha,Drama
Lady Snowblood,Thriller
The Tough Ones,Action
Takedown,Thriller
Bleeder,Thriller
Dil Se..,Romance
The Bodyguard,Thriller
Vidocq,Mystery
Molokai: The Story of Father Damien,Foreign
Le Samouraï,Thriller
Candyman: Day of the Dead,Horror
The 4th Floor,Thriller
A Long Hot Summer,Comedy
The Batman Superman Movie: World's Finest,Animation
The End of Evangelion,Fiction
The Life of Aleksis Kivi,Unknown
He Died with a Felafel in His Hand,Comedy
Kuch Kuch Hota Hai,Romance
Document of the Dead,Documentary
Venus Beauty Institute,Romance
Cherry Falls,Thriller
Freeway II: Confessions of a Trickbaby,Drama
Joseph and the Amazing Technicolor Dreamcoat,Music
Style Wars,Movie
In July,Romance
Joan of Arc,History
Kirikou and the Sorceress,Family
After the Rain,Drama
The Prophecy 3: The Ascent,Thriller
Taxi 2,Crime
Pups,Crime
Peculiarities of the National Fishing,Comedy
Cut,Thriller
Kadosh,Foreign
Essex Boys,Thriller
Picking Up the Pieces,Mystery
Badding,Unknown
The Wedding Waltz,Comedy
Meeting People Is Easy,Documentary
Cruel Intentions 2,Thriller
Adrenaline Drive,Foreign
Humanité,Drama
Beautiful Joe,Romance
The Underground Comedy Movie,Comedy
The Shrink Is In,Romance
Charisma,Thriller
Guest House Paradiso,Comedy
Swimming,Drama
If These Walls Could Talk 2,Drama
The Trumpet Of The Swan,Family
The 10th Kingdom,Romance
An Extremely Goofy Movie,Comedy
The Wind Will Carry Us,Drama
Water Drops on Burning Rocks,Romance
The Tracker,History
2046,Romance
Bruiser,Horror
Taboo,Mystery
Crane World,Foreign
Cremaster 2,Drama
Running Out of Time,Crime
The Wog Boy,Comedy
Century of the Dragon,Thriller
Chasing Sleep,Thriller
The Stepdaughter,Horror
Possible Worlds,Drama
The Nameless,Thriller
The Debt,Foreign
Female Prisoner #701: Scorpion,Crime
Female Prisoner Scorpion: Jailhouse 41,Thriller
Bartleby,Drama
Night of the Day of the Dawn of the Son of the Bride Part 2: In Shocking 2-D,Unknown
Restless,Romance
Shiner,Crime
Batman Beyond: Return of the Joker,Family
Roberto Succo,Drama
Suzhou River,Romance
6ixtynin9,Thriller
Audition,Thriller
The Nine Lives of Tomas Katz,Mystery
For Love or Country: The Arturo Sandoval Story,Drama
Paragraph 175,Documentary
Devdas,Romance
Mimic 2,Thriller
Monday,Thriller
Paradise Lost 2: Revelations,Documentary
Dark Prince: The True Story of Dracula,Horror
Sound and Fury,Documentary
The Hole,Thriller
The Sleeping Dictionary,Romance
When Strangers Appear,Thriller
Revolutionary Girl Utena: The Movie,Action
Speaking of Sex,Romance
Good Advice,Romance
Needing You...,Foreign
The Mists of Avalon,Fantasy
Spiral,Horror
The Big Animal,Unknown
Old Men in New Cars: In China They Eat Dogs II,Thriller
Purely Belter,Drama
The Quickie,Crime
Kabhi Khushi Kabhie Gham,Drama
The River,Romance
Werckmeister Harmonies,Drama
Asterix & Obelix: Mission Cleopatra,Adventure
Is It Fall Yet?,Comedy
Late Night Shopping,Romance
Uprising,War
61*,History
The Tunnel,Thriller
Long Time Dead,Thriller
The Laramie Project,Drama
Run Ronnie Run,Comedy
Gojoe: Spirit War Chronicle,History
A Gentleman's Game,Drama
Joint Security Area,Thriller
Dagon,Thriller
Ripley's Game,Thriller
Conspiracy,History
Freeze Me,Thriller
The Best Man's Wedding,Drama
Teknolust,Romance
A Dog's Will,Drama
The Accidental Spy,Thriller
The Adversary,Crime
The Beautiful Country,Drama
Darkness,Horror
Mockingbird Don't Sing,Drama
Blood: The Last Vampire,Fiction
Vacuuming Completely Nude in Paradise,Foreign
Avenging Angelo,Crime
Southern Comfort,Romance
Berlin is in Germany,Drama
Blueberry,Western
Electric Dragon 80.000 V,Thriller
The Nugget,Foreign
"Godzilla, Mothra and King Ghidorah: Giant Monsters All-Out Attack",Fantasy
Shackleton's Antarctic Adventure,Documentary
The Barber,Horror
Dirty Deeds,Thriller
Miranda,Thriller
My Little Eye,Thriller
Kung Phooey,Comedy
Stranded,Fiction
Millennium Mambo,Drama
Martin & Orloff,Comedy
American Psycho 2: All American Girl,Thriller
